2025-05-27 12:27:34,649 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BNBUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,649 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BNBUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,649 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BNBUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,649 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BNBUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,649 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BNBUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,649 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BNBUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,650 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BNBUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,650 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BNBUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,650 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BNBUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,650 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BNBUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,650 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BNBUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,650 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BNBUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,650 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BNBUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,650 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BNBUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,650 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: ETHUSDT - /root/trading_bot/bot_loop.py:517
